tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
2020-05-01,12,0,4,8,180,57,2,121
2020-05-02,2,0,0,2,182,57,2,123
2020-05-03,19,0,13,6,201,70,2,129
2020-05-04,7,0,9,-2,208,79,2,127
2020-05-05,4,0,0,4,212,79,2,131
2020-05-06,0,0,3,-3,212,82,2,128
2020-05-07,10,0,9,1,222,91,2,129
2020-05-08,9,0,7,2,231,98,2,131
2020-05-09,5,0,0,5,236,98,2,136
2020-05-10,3,0,3,0,239,101,2,136
2020-05-11,2,0,3,-1,241,104,2,135
2020-05-12,11,0,1,10,252,105,2,145
2020-05-13,3,0,1,2,255,106,2,147
2020-05-14,5,0,2,3,260,108,2,150
2020-05-15,5,0,7,-2,265,115,2,148
2020-05-16,2,0,4,-2,267,119,2,146
2020-05-17,1,0,2,-1,268,121,2,145
2020-05-18,9,0,3,6,277,124,2,151
2020-05-19,2,0,6,-4,279,130,2,147
2020-05-20,7,0,6,1,286,136,2,148
2020-05-21,3,0,2,1,289,138,2,149
2020-05-22,3,0,2,1,292,140,2,150
2020-05-23,4,0,0,4,296,140,2,154
2020-05-24,6,0,3,3,302,143,2,157
2020-05-25,2,0,1,1,304,144,2,158
2020-05-26,10,0,1,9,314,145,2,167
2020-05-27,8,0,3,5,322,148,2,172
2020-05-28,4,0,6,-2,326,154,2,170
2020-05-29,19,0,3,16,345,157,2,186
2020-05-30,10,0,4,6,355,161,2,192
2020-05-31,6,0,0,6,361,161,2,198
2020-06-01,15,1,4,10,376,165,3,208
2020-06-02,4,0,1,3,380,166,3,211
2020-06-03,3,0,3,0,383,169,3,211
2020-06-04,13,0,7,6,396,176,3,217
2020-06-05,7,0,3,4,403,179,3,221
2020-06-06,27,0,1,26,430,180,3,247
2020-06-07,20,0,1,19,450,181,3,266
2020-06-08,11,0,2,9,461,183,3,275
2020-06-09,12,0,8,4,473,191,3,279
2020-06-10,28,0,1,27,501,192,3,306
2020-06-11,16,0,2,14,517,194,3,320
2020-06-12,31,0,8,23,548,202,3,343
2020-06-13,22,1,4,17,570,206,4,360
2020-06-14,15,0,6,9,585,212,4,369
2020-06-15,15,0,25,-10,600,237,4,359
2020-06-16,17,0,7,10,617,244,4,369
2020-06-17,41,0,16,25,658,260,4,394
2020-06-18,57,0,2,55,715,262,4,449
2020-06-19,64,0,9,55,779,271,4,504
2020-06-20,29,1,7,21,808,278,5,525
2020-06-21,25,1,4,20,833,282,6,545
2020-06-22,22,0,8,14,855,290,6,559
2020-06-23,28,0,8,20,883,298,6,579
2020-06-24,36,0,2,34,919,300,6,613
2020-06-25,47,1,7,39,966,307,7,652
2020-06-26,35,0,23,12,1001,330,7,664
2020-06-27,91,0,6,85,1092,336,7,749
2020-06-28,35,0,8,27,1127,344,7,776
2020-06-29,25,0,7,18,1152,351,7,794
2020-06-30,33,0,12,21,1185,363,7,815
2020-07-01,25,1,12,12,1210,375,8,827
2020-07-02,90,0,5,85,1300,380,8,912
2020-07-03,53,0,9,44,1353,389,8,956
2020-07-04,77,2,5,70,1430,394,10,1026
2020-07-05,42,1,10,31,1472,404,11,1057
2020-07-06,43,0,4,39,1515,408,11,1096
2020-07-07,35,0,15,20,1550,423,11,1116
2020-07-08,26,1,8,17,1576,431,12,1133
2020-07-09,40,0,29,11,1616,460,12,1144
2020-07-10,75,0,14,61,1691,474,12,1205
2020-07-11,27,0,42,-15,1718,516,12,1190
2020-07-12,37,0,8,29,1755,524,12,1219
2020-07-13,51,0,35,16,1806,559,12,1235
2020-07-14,86,0,21,65,1892,580,12,1300
2020-07-15,53,0,7,46,1945,587,12,1346
2020-07-16,91,0,21,70,2036,608,12,1416
2020-07-17,70,1,15,54,2106,623,13,1470
2020-07-18,51,0,12,39,2157,635,13,1509
2020-07-19,47,1,29,17,2204,664,14,1526
2020-07-20,32,1,10,21,2236,674,15,1547
2020-07-21,69,0,8,61,2305,682,15,1608
2020-07-22,60,0,28,32,2365,710,15,1640
2020-07-23,51,2,14,35,2416,724,17,1675
2020-07-24,53,0,13,40,2469,737,17,1715
2020-07-25,46,0,10,36,2515,747,17,1751
2020-07-26,37,0,9,28,2552,756,17,1779
2020-07-27,50,0,5,45,2602,761,17,1824
2020-07-28,24,0,9,15,2626,770,17,1839
2020-07-29,42,0,17,25,2668,787,17,1864
2020-07-30,43,0,16,27,2711,803,17,1891
2020-07-31,31,0,10,21,2742,813,17,1912
2020-08-01,30,0,8,22,2772,821,17,1934
2020-08-02,38,0,4,34,2810,825,17,1968
2020-08-03,29,0,3,26,2839,828,17,1994
2020-08-04,35,0,9,26,2874,837,17,2020
2020-08-05,33,0,2,31,2907,839,17,2051
2020-08-06,19,0,15,4,2926,854,17,2055
2020-08-07,38,0,6,32,2964,860,17,2087
2020-08-08,38,0,8,30,3002,868,17,2117
2020-08-09,50,0,2,48,3052,870,17,2165
2020-08-10,38,0,8,30,3090,878,17,2195
2020-08-11,45,0,10,35,3135,888,17,2230
2020-08-12,30,0,1,29,3165,889,17,2259
2020-08-13,35,0,11,24,3200,900,17,2283
2020-08-14,45,0,3,42,3245,903,17,2325
2020-08-15,36,0,3,33,3281,906,17,2358
2020-08-16,31,0,12,19,3312,918,17,2377
2020-08-17,45,0,9,36,3357,927,17,2413
2020-08-18,40,0,7,33,3397,934,17,2446
2020-08-19,62,0,5,57,3459,939,17,2503
2020-08-20,60,0,4,56,3519,943,17,2559
2020-08-21,64,0,6,58,3583,949,17,2617
2020-08-22,43,0,6,37,3626,955,17,2654
2020-08-23,67,0,11,56,3693,966,17,2710
2020-08-24,63,0,6,57,3756,972,17,2767
2020-08-25,48,0,10,38,3804,982,17,2805
2020-08-26,76,0,9,67,3880,991,17,2872
2020-08-27,82,0,19,63,3962,1010,17,2935
2020-08-28,93,0,5,88,4055,1015,17,3023
2020-08-29,88,1,12,75,4143,1027,18,3098
2020-08-30,89,1,1,87,4232,1028,19,3185
2020-08-31,129,2,9,118,4361,1037,21,3303
2020-09-01,130,0,13,117,4491,1050,21,3420
2020-09-02,140,2,12,126,4631,1062,23,3546
2020-09-03,136,1,17,118,4767,1079,24,3664
2020-09-04,157,1,6,150,4924,1085,25,3814
2020-09-05,131,2,10,119,5055,1095,27,3933
2020-09-06,109,1,3,105,5164,1098,28,4038
2020-09-07,173,3,16,154,5337,1114,31,4192
2020-09-08,164,2,4,158,5501,1118,33,4350
2020-09-09,173,1,8,164,5674,1126,34,4514
2020-09-10,79,2,11,66,5753,1137,36,4580
2020-09-11,143,0,7,136,5896,1144,36,4716
2020-09-12,135,0,11,124,6031,1155,36,4840
2020-09-13,88,3,9,76,6119,1164,39,4916
2020-09-14,86,2,7,77,6205,1171,41,4993
2020-09-15,68,1,10,57,6273,1181,42,5050
2020-09-16,49,0,6,43,6322,1187,42,5093
2020-09-17,48,2,22,24,6370,1209,44,5117
2020-09-18,50,2,8,40,6420,1217,46,5157
2020-09-19,65,0,13,52,6485,1230,46,5209
2020-09-20,96,3,6,87,6581,1236,49,5296
2020-09-21,112,0,7,105,6693,1243,49,5401
2020-09-22,87,1,20,66,6780,1263,50,5467
2020-09-23,69,0,21,48,6849,1284,50,5515
2020-09-24,119,11,13,95,6968,1297,61,5610
2020-09-25,144,3,11,130,7112,1308,64,5740
2020-09-26,63,1,7,55,7175,1315,65,5795
2020-09-27,45,1,8,36,7220,1323,66,5831
2020-09-28,83,3,22,58,7303,1345,69,5889
2020-09-29,91,1,19,71,7394,1364,70,5960
2020-09-30,133,2,18,113,7527,1382,72,6073
2020-10-01,141,1,14,126,7668,1396,73,6199
2020-10-02,108,2,10,96,7776,1406,75,6295
2020-10-03,84,0,17,67,7860,1423,75,6362
2020-10-04,111,0,22,89,7971,1445,75,6451
2020-10-05,58,1,8,49,8029,1453,76,6500
2020-10-06,53,1,18,34,8082,1471,77,6534
2020-10-07,105,4,7,94,8187,1478,81,6628
2020-10-08,107,0,21,86,8294,1499,81,6714
2020-10-09,115,0,5,110,8409,1504,81,6824
2020-10-10,103,1,16,86,8512,1520,82,6910
2020-10-11,107,1,12,94,8619,1532,83,7004
2020-10-12,80,2,25,53,8699,1557,85,7057
2020-10-13,43,2,19,22,8742,1576,87,7079
2020-10-14,85,2,14,69,8827,1590,89,7148
2020-10-15,100,0,28,72,8927,1618,89,7220
2020-10-16,92,0,37,55,9019,1655,89,7275
2020-10-17,92,1,18,73,9111,1673,90,7348
2020-10-18,74,0,11,63,9185,1684,90,7411
2020-10-19,88,2,29,57,9273,1713,92,7468
2020-10-20,75,1,25,49,9348,1738,93,7517
2020-10-21,87,0,11,76,9435,1749,93,7593
2020-10-22,68,2,22,44,9503,1771,95,7637
2020-10-23,59,2,13,44,9562,1784,97,7681
2020-10-24,76,2,21,53,9638,1805,99,7734
2020-10-25,109,0,18,91,9747,1823,99,7825
2020-10-26,67,0,13,54,9814,1836,99,7879
2020-10-27,48,2,17,29,9862,1853,101,7908
2020-10-28,72,222,7030,-7180,9934,8883,323,728
2020-10-29,44,2,51,-9,9978,8934,325,719
2020-10-30,38,2,92,-56,10016,9026,327,663
2020-10-31,52,2,58,-8,10068,9084,329,655
2020-11-01,57,0,46,11,10125,9130,329,666
2020-11-02,17,1,79,-63,10142,9209,330,603
2020-11-03,49,1,66,-18,10191,9275,331,585
2020-11-04,45,0,75,-30,10236,9350,331,555
2020-11-05,49,3,86,-40,10285,9436,334,515
2020-11-06,74,2,66,6,10359,9502,336,521
2020-11-07,68,0,39,29,10427,9541,336,550
2020-11-08,38,0,48,-10,10465,9589,336,540
2020-11-09,68,1,68,-1,10533,9657,337,539
2020-11-10,44,2,83,-41,10577,9740,339,498
2020-11-11,62,0,56,6,10639,9796,339,504
2020-11-12,89,1,43,45,10728,9839,340,549
2020-11-13,64,0,52,12,10792,9891,340,561
2020-11-14,48,0,46,2,10840,9937,340,563
2020-11-15,60,0,45,15,10900,9982,340,578
2020-11-16,7,1,33,-27,10907,10015,341,551
2020-11-17,2,2,52,-52,10909,10067,343,499
2020-11-18,69,0,89,-20,10978,10156,343,479
2020-11-19,71,0,57,14,11049,10213,343,493
2020-11-20,61,2,63,-4,11110,10276,345,489
2020-11-21,94,0,68,26,11204,10344,345,515
2020-11-22,83,1,63,19,11287,10407,346,534
2020-11-23,68,3,68,-3,11355,10475,349,531
2020-11-24,90,2,85,3,11445,10560,351,534
2020-11-25,95,2,65,28,11540,10625,353,562
2020-11-26,111,4,54,53,11651,10679,357,615
2020-11-27,44,4,48,-8,11695,10727,361,607
2020-11-28,99,1,84,14,11794,10811,362,621
2020-11-29,67,2,48,17,11861,10859,364,638
2020-11-30,89,4,121,-36,11950,10980,368,602
2020-12-01,87,2,34,51,12037,11014,370,653
2020-12-02,161,0,80,81,12198,11094,370,734
2020-12-03,230,5,92,133,12428,11186,375,867
2020-12-04,122,2,81,39,12550,11267,377,906
2020-12-05,91,0,92,-1,12641,11359,377,905
2020-12-06,110,2,74,34,12751,11433,379,939
2020-12-07,102,1,317,-216,12853,11750,380,723
2020-12-08,66,1,77,-12,12919,11827,381,711
2020-12-09,120,4,80,36,13039,11907,385,747
2020-12-10,112,2,92,18,13151,11999,387,765
2020-12-11,64,4,80,-20,13215,12079,391,745
2020-12-12,47,0,81,-34,13262,12160,391,711
2020-12-13,42,2,64,-24,13304,12224,393,687
2020-12-14,77,0,89,-12,13381,12313,393,675
2020-12-15,62,6,60,-4,13443,12373,399,671
2020-12-16,145,1,140,4,13588,12513,400,675
2020-12-17,132,2,76,54,13720,12589,402,729
2020-12-18,121,2,58,61,13841,12647,404,790
2020-12-19,96,0,53,43,13937,12700,404,833
2020-12-20,75,3,71,1,14012,12771,407,834
